Name,Creator,Image,Description,Difficulty,Time,Paper Shape,Sheets,Image_GitHub
Knight on horseback,Park Jun-Sik,https://origami-database.com/wp-content/uploads/DSC01569-export-900x900.jpg,Humanoid figure with lance and shield on top of a horse.,Intermediate,25 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01569-export-900x900.jpg
Frog,John Montroll,https://origami-database.com/wp-content/uploads/DSC01529-export-900x900.jpg,Frog with long hind legs and open mouth.,Moderate,17 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01529-export-900x900.jpg
Treehopper,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC01543-export-900x900.jpg,Standing bug model with detailed legs and large pronotum.,Intermediate,53 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01543-export-900x900.jpg
Crane,Román Díaz,https://origami-database.com/wp-content/uploads/DSC01546-export-3000x3000.jpg,Detailed crane model with talons featuring four digits.,Hard,1 hour 25 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01546-export-3000x3000.jpg
Barracuda,John Montroll,https://origami-database.com/wp-content/uploads/DSC01532-export-900x900.jpg,Long fish model with distinctive head and fins.,Intermediate,58 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01532-export-900x900.jpg
Spotted Ladybug,Robert J. Lang,https://origami-database.com/wp-content/uploads/DSC01542-export-900x900.jpg,A pretty beetle model with reverse-colored head and spots.,Hard,1 hour 20 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01542-export-900x900.jpg
Froglet,John Montroll,https://origami-database.com/wp-content/uploads/DSC01527-export-3000x3000.jpg,"Froglet with arms, feet and tail.",Intermediate,26 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01527-export-3000x3000.jpg
Perch,John Montroll,https://origami-database.com/wp-content/uploads/DSC01535-export-900x900.jpg,Fish model with characteristic fins.,Intermediate,23 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01535-export-900x900.jpg
Tadpole with Hind Legs,John Montroll,https://origami-database.com/wp-content/uploads/DSC01525-export-scaled.jpg,Stylized tadpole model with legs.,Easy,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01525-export-scaled.jpg
Tadpole,John Montroll,https://origami-database.com/wp-content/uploads/DSC01523-export-3000x3000.jpg,"Simple, stylized tadpole without legs.",Easy,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01523-export-3000x3000.jpg
Tiger,Joseph Wu,https://origami-database.com/wp-content/uploads/DSC01455-export-900x900.jpg,Abstract standing tiger model.,Moderate,11 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01455-export-900x900.jpg
Dimetrodon,John Montroll,https://origami-database.com/wp-content/uploads/DSC01458-export-900x900.jpg,Prehistoric creature with large sail on its back.,Intermediate,35 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01458-export-900x900.jpg
Sea crab,Jun Maekawa,https://origami-database.com/wp-content/uploads/DSC01378-export-900x900.jpg,Standing crab model with eight legs and two pincers.,Moderate,30 minutes,A4,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01378-export-900x900.jpg
Beaver,Madiyar Amerkeshev,https://origami-database.com/wp-content/uploads/DSC01384-export-3000x3000.jpg,Standing beaver model with reverse-colored teeth.,Moderate,14 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01384-export-3000x3000.jpg
Drinking bird,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01387-export-900x900.jpg,Stylized basin of water and bird that takes a sip when animated.,Moderate,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01387-export-900x900.jpg
Rose of Roses,Jordi Adell,https://origami-database.com/wp-content/uploads/DSC01382_export.jpg,Rose model with twist-fold base.,Moderate,14 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01382_export.jpg
Fiery Dragon ver.2,Kade Chan,https://origami-database.com/wp-content/uploads/DSC01394-export-900x900.jpg,Dragon model with a tail ending in three points and talons with three digits.,Hard,1 hour 55 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01394-export-900x900.jpg
Frog,Jun Maekawa,https://origami-database.com/wp-content/uploads/DSC01375-export-900x900.jpg,A 3D frog with three-toed feet and reverse-colored throat.,Moderate,30 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01375-export-900x900.jpg
Snake,Gen Hagiwara,https://origami-database.com/wp-content/uploads/DSC01370-export-3000x3000.jpg,Stylized snake model with reverse-colored eyes and chin.,Easy,8 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01370-export-3000x3000.jpg
Fiery Dragon,Kade Chan,https://origami-database.com/wp-content/uploads/DSC01366-export-900x900.jpg,"Long dragon with open mouth, horned head and segmented tail and neck.",Hard,1 hour 13 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01366-export-900x900.jpg
Nils on Mårten Goose 1,Torimoto Norio,https://origami-database.com/wp-content/uploads/DSC01377-export-3000x3000.jpg,Stylized model of a person sitting on top of a goose.,Moderate,7 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01377-export-3000x3000.jpg
Apatosaurus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01317-export-3000x3000.jpg,Dinosaur model with sturdy legs and large body.,Moderate,18 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01317-export-3000x3000.jpg
Riojasaurus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01314-export-3000x3000.jpg,Herbivorous dinosaur model with heavy body.,Moderate,22 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01314-export-3000x3000.jpg
Tanystropheus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01313-export-3000x3000.jpg,Long-necked prehistoric dinosaur model.,Moderate,21 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01313-export-3000x3000.jpg
Rhamphorynchus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01304-export-900x900.jpg,"A model with long, arrow-shaped tail and large beak.",Intermediate,27 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01304-export-900x900.jpg
Pterodactyl,Tadashi Mori,https://origami-database.com/wp-content/uploads/DSC01307-export-3000x3000.jpg,Flying dinosaur model with pronounced cranial crest and two legs.,Intermediate,19 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01307-export-3000x3000.jpg
Elasmosaurus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01302-export-3000x3000.jpg,Aquatic dinosaur model with long neck.,Moderate,15 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01302-export-3000x3000.jpg
Tato,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01296-export-900x900.jpg,A 8-sided coin purse or octagonal envelope.,Moderate,9 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01296-export-900x900.jpg
Windmill,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01285-export-3000x3000.jpg,Windmill model with alternating sail colors.,Easy,3 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01285-export-3000x3000.jpg
Pterodactylus,John Montroll,https://origami-database.com/wp-content/uploads/DSC01295-export-3000x3000.jpg,Flying dinosaur model with reverse-colored eyes.,Moderate,24 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01295-export-3000x3000.jpg
Pteranodon,John Montroll,https://origami-database.com/wp-content/uploads/DSC01287-export-3000x3000.jpg,Flying dinosaur with a distinctive cranial crest.,Intermediate,25 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01287-export-3000x3000.jpg
Hermit crab,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC01269-export.jpg,"This model has pronounced eyes, four legs and two claws.",Moderate,19 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01269-export.jpg
Kimono,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01276-export.jpg,One-sided kimono model.,Easy,4 minutes,1:3 rectangle,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01276-export.jpg
Water lily,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01279-export-900x798.jpg,Four-petalled single-colored water lily.,Easy,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01279-export-900x798.jpg
Triceratops,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC01262-export-3000x3000.jpg,Standing model with two pronounced horns.,Intermediate,36 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01262-export-3000x3000.jpg
Orca (Killer Whale),Madiyar Amerkeshev,https://origami-database.com/wp-content/uploads/DSC01267-export-900x900.jpg,One-sided model with reverse colored belly.,Moderate,16 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01267-export-900x900.jpg
Kissing fish,Junior Jacquet,https://origami-database.com/wp-content/uploads/DSC01256-export-900x900.jpg,The lips of this fish move when the model is squeezed.,Moderate,10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01256-export-900x900.jpg
Labrador,Steven Casey,https://origami-database.com/wp-content/uploads/DSC01250-export.jpg,A standing dog model.,Intermediate,41 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01250-export.jpg
Stand,Jo Nakashima,https://origami-database.com/wp-content/uploads/DSC01244-export-900x900.jpg,Origami stand that can be used to display models on.,Moderate,15 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01244-export-900x900.jpg
Turtle,Steven Casey,https://origami-database.com/wp-content/uploads/DSC01222-export.jpg,Turtle with a four-segmented shell.,Moderate,13 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01222-export.jpg
Wasp,José Aníbal Voyer Iniesta,https://origami-database.com/wp-content/uploads/DSC01238-export-900x900.jpg,Standing six-legged 3D model with segmented abdomen.,Intermediate,1 hour 5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01238-export-900x900.jpg
Pajarito,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01215-export-scaled.jpg,The icon of Spanish origami. Pajarito means ‘small bird’ in Spanish.,Moderate,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01215-export-scaled.jpg
Walking crab,Shoko Aoyagi,https://origami-database.com/wp-content/uploads/DSC01213-export-3000x3000.jpg,Stylized crab that wiggles when tapped on a side.,Moderate,7 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01213-export-3000x3000.jpg
Crane,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01217-export-scaled.jpg,The traditional origami crane.,Moderate,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01217-export-scaled.jpg
Crown,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01203-export-scaled.jpg,A crown with 8 points.,Easy,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01203-export-scaled.jpg
Boat,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01195-export-scaled.jpg,The traditional origami boat model.,Easy,2 minutes,A4,US Letter,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01195-export-scaled.jpg
Frog,Beth Johnson,https://origami-database.com/wp-content/uploads/DSC01198-export-scaled.jpg,A stylized sitting frog.,Moderate,13 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01198-export-scaled.jpg
Christmas tree,Jo Nakashima,https://origami-database.com/wp-content/uploads/DSC01180-export-3000x3000.jpg,Multi-sheet christmas tree with segmented foliage.,Moderate,1 hour 5 minutes,Square,6 sheets,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01180-export-3000x3000.jpg
Kneeling Mary,Barbara Furmanowicz,https://origami-database.com/wp-content/uploads/DSC01183-export-scaled.jpg,Kneeling model of the Christian figure.,Easy,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01183-export-scaled.jpg
Joseph,Barbara Furmanowicz,https://origami-database.com/wp-content/uploads/DSC01184-export-scaled.jpg,Standing model of the Christian figure.,Easy,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01184-export-scaled.jpg
Palm tree 2,Barbara Furmanowicz,https://origami-database.com/wp-content/uploads/DSC01182-export-scaled.jpg,An abstract palm tree made from two sheets.,Moderate,15 minutes,Square,2 sheets,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01182-export-scaled.jpg
Donkey,Román Díaz,https://origami-database.com/wp-content/uploads/DSC01186-export-3000x3000.jpg,Standing model with reverse-colored underside and snout.,Intermediate,44 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01186-export-3000x3000.jpg
Bullfrog,Román Díaz,https://origami-database.com/wp-content/uploads/DSC01175-export-3000x3000.jpg,3D frog model with open mouth and reverse-colored underside.,Intermediate,50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01175-export-3000x3000.jpg
Grass,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC01172-export.jpg,A patch of grassy leaves.,Moderate,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01172-export.jpg
Ghost,José Aníbal Voyer Iniesta,https://origami-database.com/wp-content/uploads/DSC01160-export-scaled.jpg,Humanoid figure with long cowl and stretched out arms.,Moderate,13 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01160-export-scaled.jpg
Snail,Shiri Daniel,https://origami-database.com/wp-content/uploads/DSC01170-export-3000x3000.jpg,3D snail model with large spiral shell.,Intermediate,27 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01170-export-3000x3000.jpg
Cat,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC01157-export-900x900.jpg,Sitting cat with reverse-colored breast and nose.,Moderate,17 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01157-export-900x900.jpg
Spider,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01166-export-3000x3000.jpg,Two-piece spider model with inflated 3D body.,Moderate,23 minutes,Square,2 sheets,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01166-export-3000x3000.jpg
Chopstick Duck,Matthew Gardiner,https://origami-database.com/wp-content/uploads/DSC01149-export.jpg,Simple duck made from a chopstick wrapper.,Easy,4 minutes,Chopstick wrapper,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01149-export.jpg
Mother and Child,Stephen Weiss,https://origami-database.com/wp-content/uploads/DSC01152-export-scaled.jpg,"Model of a woman with reverse-colored skirt, cradling a baby.",Intermediate,45 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01152-export-scaled.jpg
Giraffe,Jo Nakashima,https://origami-database.com/wp-content/uploads/DSC01142-export-scaled.jpg,"Standing, long-necked model.",Intermediate,22 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01142-export-scaled.jpg
Harp seal pup,Quentin Trollip,https://origami-database.com/wp-content/uploads/DSC01146-export-scaled.jpg,"Hollow model with reverse-colored eyes, nose and whiskers.",Intermediate,52 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01146-export-scaled.jpg
Lizard,Weesel,https://origami-database.com/wp-content/uploads/DSC01096-export.jpg,Standing lizard with reverse-colored eyes.,Moderate,18 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01096-export.jpg
Cerberus,Henry Phạm,https://origami-database.com/wp-content/uploads/DSC01095-export.jpg,The three-headed hound of Hades from Greek mythology.,Intermediate,1 hour 30 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01095-export.jpg
Woodlouse,Joost Langeveld,https://origami-database.com/wp-content/uploads/DSC01085-export-scaled.jpg,A simple segmented bug with two antennae.,Moderate,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01085-export-scaled.jpg
Cicada,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01080-export-scaled.jpg,Traditional stylized cicada model with reverse-colored stripe.,Easy,3 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01080-export-scaled.jpg
Rabbit,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC01083-export-scaled.jpg,Stylized rabbit model with long pointy ears.,Easy,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01083-export-scaled.jpg
Robin,David Brill,https://origami-database.com/wp-content/uploads/DSC01069-export.jpg,3D model of a standing Robin with reverse-colored breast and legs.,Intermediate,30 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01069-export.jpg
Snail on a leaf,Akira Yoshizawa,https://origami-database.com/wp-content/uploads/DSC01065-export-3000x3000.jpg,Two-piece scene of a double-colored snail on a simple leaf.,Moderate,15 minutes,Square,2 sheets,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01065-export-3000x3000.jpg
Bird,Lluis Valldeneu,https://origami-database.com/wp-content/uploads/DSC01060-export-scaled.jpg,Single colored standing bird with layered wings.,Moderate,10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01060-export-scaled.jpg
Three-Headed Standing Dragon,John Montroll,https://origami-database.com/wp-content/uploads/DSC01046-export-scaled.jpg,"Standing on two legs, this three-headed dragon has two sharp claws.",Intermediate,1 hour,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01046-export-scaled.jpg
Winged Lion,John Montroll,https://origami-database.com/wp-content/uploads/DSC01038-export-3000x3000.jpg,Standing winged lion with large mane.,Intermediate,30 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01038-export-3000x3000.jpg
Shield,John Montroll,https://origami-database.com/wp-content/uploads/DSC01051-export-1.jpg,A shield with large checkered pattern and a point on the top.,Easy,3 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01051-export-1.jpg
Wyvern,John Montroll,https://origami-database.com/wp-content/uploads/DSC01032-export-3000x3000.jpg,Bipedal wyvern with arrow-tipped tail and five spikes on its head.,Intermediate,45 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01032-export-3000x3000.jpg
Wizard,John Montroll,https://origami-database.com/wp-content/uploads/DSC01030-export.jpg,Robed wizard with pointy hat and long beard.,Moderate,20 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01030-export.jpg
Sloth,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC01044-export-scaled.jpg,Sloth model hanging from its paws.,Moderate,30 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01044-export-scaled.jpg
Papa Penguin and his Baby Peep,Anna Turner,https://origami-database.com/wp-content/uploads/DSC01035-export-scaled.jpg,Standing penguin with baby peeking from between its legs.,Moderate,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01035-export-scaled.jpg
Chameleon,Madiyar Amerkeshev,https://origami-database.com/wp-content/uploads/DSC00830-export.jpg,Chameleon model with open mouth and reverse-colored eyes.,Moderate,15 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00830-export.jpg
Moose,Fumiaki Kawahata,https://origami-database.com/wp-content/uploads/DSC00822-export.jpg,Stylized standing moose with solid antlers.,Moderate,9 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00822-export.jpg
Pumba,Madiyar Amerkeshev,https://origami-database.com/wp-content/uploads/DSC00824-export-3000x3000.jpg,3D warthog model of the Disney character with single tusk.,Moderate,20 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00824-export-3000x3000.jpg
Crocodile,Madiyar Amerkeshev,https://origami-database.com/wp-content/uploads/DSC00832-export-3000x3000.jpg,Long crocodile model with distinctive head.,Moderate,20 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00832-export-3000x3000.jpg
Adirondack Moose,John Szinger,https://origami-database.com/wp-content/uploads/DSC00820-export-scaled.jpg,"Standing moose with large, solid antlers.",Intermediate,40 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00820-export-scaled.jpg
Cat,Keiji Kitamura,https://origami-database.com/wp-content/uploads/DSC00812-export.jpg,A stylized cat model with reverse-colored snout.,Moderate,6 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00812-export.jpg
Scorpion,Jozsef Zsebe,https://origami-database.com/wp-content/uploads/DSC00806-export-scaled.jpg,3D scorpion model with two open pincers and a stinger.,Moderate,25 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00806-export-scaled.jpg
Wolf,Isurus,https://origami-database.com/wp-content/uploads/DSC00802-export-3000x3000.jpg,Standing wolf model with characteristic head.,Intermediate,45 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00802-export-3000x3000.jpg
Stegosaurus,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC00796-export.jpg,Quadruped dinosaur with spikes on its back.,Moderate,10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00796-export.jpg
Hippogriff,Guspath Go,https://origami-database.com/wp-content/uploads/DSC00787-export-scaled.jpg,Standing hippogriff model with distinctive eagle-like head.,Intermediate,55 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00787-export-scaled.jpg
Apatosaurus,Steve Biddle,https://origami-database.com/wp-content/uploads/DSC00785-export-scaled.jpg,Long-necked standing dinosaur model with a large body.,Moderate,15 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00785-export-scaled.jpg
Duck,JMorigami,https://origami-database.com/wp-content/uploads/DSC00776-export-3000x3000.jpg,Standing duckling model with reverse-colored beak and feet.,Moderate,25 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00776-export-3000x3000.jpg
Dragon v3,Jo Nakashima,https://origami-database.com/wp-content/uploads/DSC00765-export-scaled.jpg,Bipedal dragon with segmented tail and horned head.,Intermediate,30 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00765-export-scaled.jpg
Airplane #2,Yukihiko Matsuno,https://origami-database.com/wp-content/uploads/DSC00771-export-scaled.jpg,Single propeller airplane with two wheels and vertical and horizontal stabilizers.,Moderate,15 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00771-export-scaled.jpg
Seal,Jo Nakashima,https://origami-database.com/wp-content/uploads/DSC00762-export.jpg,Upright seal with hindflippers perpendicular to the body.,Moderate,15 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00762-export.jpg
Pig,Hideo Komatsu,https://origami-database.com/wp-content/uploads/DSC00756-export-scaled.jpg,Standing pig model with pronounced ears and snout.,Moderate,10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00756-export-scaled.jpg
Whale,Jo Nakashima,https://origami-database.com/wp-content/uploads/DSC01049-export-scaled.jpg,A stylized whale model with an open mouth.,Moderate,10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC01049-export-scaled.jpg
Parasaurolophus,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC00750-export.jpg,Bipedal dinosaur model with reverse-colored horn on its distinctive head.,Moderate,10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00750-export.jpg
Seagull,JMorigami,https://origami-database.com/wp-content/uploads/DSC00744-export-3000x3000.jpg,Stylized flying seagull model.,Moderate,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00744-export-3000x3000.jpg
Samurai Hat,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC00739-export-scaled.jpg,A traditional samurai helmet with dual-colored features.,Easy,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00739-export-scaled.jpg
Dragon 8.0,Henry Phạm,https://origami-database.com/wp-content/uploads/DSC00728-export-scaled.jpg,"A European-style dragon with large wings, standing on four legs.",Intermediate,45 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00728-export-scaled.jpg
Deer,Fabiana Sanapanya,https://origami-database.com/wp-content/uploads/DSC00737-export.jpg,"Elegant deer with reverse colored inner ear, tail and breast.",Moderate,18 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00737-export.jpg
Knight,Joel Stern,https://origami-database.com/wp-content/uploads/DSC00730-export-3000x3000.jpg,Human knight with sword and large shield.,Moderate,10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00730-export-3000x3000.jpg
Rhino,Joseph Wu,https://origami-database.com/wp-content/uploads/DSC00716-export-scaled.jpg,Simple rhinoceros model with a large horn.,Moderate,10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00716-export-scaled.jpg
Dragon,Yoshihisa Kimura,https://origami-database.com/wp-content/uploads/DSC00719-export.jpg,Standing dragon with reverse colored wings.,Moderate,20 minutes,Isosceles right triangle,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC00719-export.jpg
