Name,Creator,Image,Description,Difficulty,Time,Paper Shape,Sheets,Image_GitHub
Ornament,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02523-export.jpg,Ornament made from six sheets.,Moderate,10 minutes,Square,6 sheets,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02523-export.jpg
Leaf & snail,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC02504-export-3000x3000.jpg,Reverse-colored snail on a leaf from a single sheet.,Moderate,15 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02504-export-3000x3000.jpg
Troll,Mario Adrados Netto,https://origami-database.com/wp-content/uploads/DSC02503-export-900x900.jpg,Bulky creature with large arms.,Moderate,11 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02503-export-900x900.jpg
Flower with stem,Sarjigami,https://origami-database.com/wp-content/uploads/DSC02509-export-900x900.jpg,Simple plant stem with reverse-colored flower and two leaves.,Moderate,9 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02509-export-900x900.jpg
Waterbomb,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02511-export.jpg,"A simple, three-dimentional box.",Easy,6 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02511-export.jpg
Camel,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02515-export-900x900.jpg,Standing dromedary model with reverse-colored eye.,Intermediate,55 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02515-export-900x900.jpg
Unicorn,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02496-export-scaled.jpg,"Rearing unicorn with reverse-colored horn, mane and tail.",Intermediate,50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02496-export-scaled.jpg
Old man,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02497-export2-900x900.jpg,Humanoid creature with large claws and a reverse-colored crane on its chest.,Intermediate,1 hour 4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02497-export2-900x900.jpg
Sailboat,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02479-export-900x900.jpg,Abstract boat with two reverse-colored sails.,Easy,3 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02479-export-900x900.jpg
Dinosaur,Zhen Ming Huang,https://origami-database.com/wp-content/uploads/DSC02967-export-900x900.jpg,Standing dinosaur with claws and reverse-colored underside and jaw.,Complex,2 hours 30 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02967-export-900x900.jpg
Dinosaur,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02481-export.jpg,Simple bipedal dinosaur model.,Moderate,5 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02481-export.jpg
Ponyta,Henry Phạm,https://origami-database.com/wp-content/uploads/DSC02469-export-900x900.jpg,Fiery horse Pokémon model with reverse-colored mane and tail.,Intermediate,37 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02469-export-900x900.jpg
Vulpix,Henry Phạm,https://origami-database.com/wp-content/uploads/DSC02454-export-900x900.jpg,Standing six-tailed fox with distinctive curls on its head.,Intermediate,46 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02454-export-900x900.jpg
Zapdos,Henry Phạm,https://origami-database.com/wp-content/uploads/DSC02463-export-900x900.jpg,Lightning bird with reverse-colored beak.,Intermediate,52 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02463-export-900x900.jpg
Firebender,Kevin Hutson,https://origami-database.com/wp-content/uploads/DSC02473-export-3000x3000.jpg,Model of a kneeling humanoid figure creating flames.,Moderate,15 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02473-export-3000x3000.jpg
Crested Kingfisher,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC02467-export-scaled.jpg,Bird with crest on its head and reverse-colored breast.,Moderate,17 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02467-export-scaled.jpg
Crow,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02488-export-900x900.jpg,Standing crow with four digits on each talon.,Hard,1 hour 50 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02488-export-900x900.jpg
Tent,Marc Kirschenbaum,https://origami-database.com/wp-content/uploads/DSC02459-export-900x900.jpg,Tent with open flaps on the front.,Easy,8 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02459-export-900x900.jpg
Monkey,Jo Nakashima,https://origami-database.com/wp-content/uploads/DSC02460-export-900x900.jpg,Sitting monkey with reverse-colored face.,Intermediate,20 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02460-export-900x900.jpg
Shark,Anita Barbour,https://origami-database.com/wp-content/uploads/DSC02278-export-900x900.jpg,Shark model with open mouth.,Moderate,12 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02278-export-900x900.jpg
Turtle,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02268-export.jpg,Abstract turtle model.,Moderate,6 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02268-export.jpg
Spinosaurus,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02471-export2-scaled.jpg,Dinosaur model with large sail and open mouth.,Intermediate,17 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02471-export2-scaled.jpg
Dolphin,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02265-export-900x900.jpg,Simple asymmetric dolphin model.,Easy,7 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02265-export-900x900.jpg
Frog,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02261-export-900x900.jpg,"Boxy, three-dimentional frog model.",Moderate,22 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02261-export-900x900.jpg
Whale,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02264-export-scaled.jpg,"Simple, abstract long whale model.",Easy,4 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02264-export-scaled.jpg
Gorilla,Joseph Wu,https://origami-database.com/wp-content/uploads/DSC02275-export.jpg,Ape model with distinctive pose.,Moderate,11 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02275-export.jpg
Archaeopteryx,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02253-export-900x900.jpg,Bird-like dinosaur model with open beak and pronounced eye.,Moderate,13 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02253-export-900x900.jpg
Elephant,Joseph Wu,https://origami-database.com/wp-content/uploads/DSC02277-export.jpg,Abstract elephant model without thusks.,Moderate,8 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02277-export.jpg
Mr.Poo,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02242-export-900x900.jpg,Stylized pile of feces with eyes and mouth.,Easy,9 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02242-export-900x900.jpg
Penguin,Unknown / traditional,https://origami-database.com/wp-content/uploads/DSC02267-export-scaled.jpg,Simple penguin model with reverse-colored front.,Easy,3 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02267-export-scaled.jpg
Snake,Jo Nakashima,https://origami-database.com/wp-content/uploads/DSC02248-export-900x900.jpg,Flat snake model with reverse-colored eyes and tongue.,Intermediate,25 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02248-export-900x900.jpg
Bison,Joseph Wu,https://origami-database.com/wp-content/uploads/DSC02274-export.jpg,Bovine model with forward-leaning pose.,Moderate,10 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02274-export.jpg
Whale,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02244-export.jpg,Blocky whale model.,Moderate,15 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02244-export.jpg
